account_id,rule,alert_amount,alert_details,transaction_count
C101359786,VELOCITY_SPIKE,968812.14,"Sender total of $968812.14 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1016949303,VELOCITY_SPIKE,1250604.14,"Sender total of $1250604.14 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1021950674,VELOCITY_SPIKE,1154220.93,"Sender total of $1154220.93 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1022036948,VELOCITY_SPIKE,3938347.98,"Sender total of $3938347.98 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1028766280,VELOCITY_SPIKE,3858106.2,"Sender total of $3858106.2 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1029713918,VELOCITY_SPIKE,2635985.86,"Sender total of $2635985.86 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1040334487,VELOCITY_SPIKE,1073382.1199999999,"Sender total of $1073382.12 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1068240459,VELOCITY_SPIKE,1340257.4400000002,"Sender total of $1340257.44 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1095346997,VELOCITY_SPIKE,1298920.62,"Sender total of $1298920.62 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1101705604,VELOCITY_SPIKE,5414515.92,"Sender total of $5414515.92 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1114021485,VELOCITY_SPIKE,1561893.56,"Sender total of $1561893.56 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1124728833,VELOCITY_SPIKE,1164043.41,"Sender total of $1164043.41 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1127304441,VELOCITY_SPIKE,1049698.51,"Sender total of $1049698.51 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1141576570,VELOCITY_SPIKE,1004692.28,"Sender total of $1004692.28 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1148385029,VELOCITY_SPIKE,1130877.93,"Sender total of $1130877.93 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1157650635,VELOCITY_SPIKE,2350471.5,"Sender total of $2350471.5 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1162056755,VELOCITY_SPIKE,1737466.49,"Sender total of $1737466.49 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1162752767,VELOCITY_SPIKE,983740.28,"Sender total of $983740.28 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1163651971,VELOCITY_SPIKE,3405962.18,"Sender total of $3405962.18 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1176328073,VELOCITY_SPIKE,1327038.83,"Sender total of $1327038.83 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1185263836,VELOCITY_SPIKE,2690671.54,"Sender total of $2690671.54 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1191696703,VELOCITY_SPIKE,3215956.12,"Sender total of $3215956.12 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
C1194120440,VELOCITY_SPIKE,3218753.72,"Sender total of $3218753.72 exceeds the 95th percentile threshold of $955,791.02 across 2 transactions",2
