account_id,rule,alert_amount,alert_details,transaction_count
C101359786,VELOCITY_SPIKE,968812.14,Sender exceeds 95th percentile threshold across 2 transactions,2
C1016949303,VELOCITY_SPIKE,1250604.14,Sender exceeds 95th percentile threshold across 2 transactions,2
C1021950674,VELOCITY_SPIKE,1154220.93,Sender exceeds 95th percentile threshold across 2 transactions,2
C1022036948,VELOCITY_SPIKE,3938347.98,Sender exceeds 95th percentile threshold across 2 transactions,2
C1028766280,VELOCITY_SPIKE,3858106.2,Sender exceeds 95th percentile threshold across 2 transactions,2
C1029713918,VELOCITY_SPIKE,2635985.86,Sender exceeds 95th percentile threshold across 2 transactions,2
C1040334487,VELOCITY_SPIKE,1073382.1199999999,Sender exceeds 95th percentile threshold across 2 transactions,2
C1068240459,VELOCITY_SPIKE,1340257.4400000002,Sender exceeds 95th percentile threshold across 2 transactions,2
C1095346997,VELOCITY_SPIKE,1298920.62,Sender exceeds 95th percentile threshold across 2 transactions,2
C1101705604,VELOCITY_SPIKE,5414515.92,Sender exceeds 95th percentile threshold across 2 transactions,2
C1114021485,VELOCITY_SPIKE,1561893.56,Sender exceeds 95th percentile threshold across 2 transactions,2
C1124728833,VELOCITY_SPIKE,1164043.41,Sender exceeds 95th percentile threshold across 2 transactions,2
C1127304441,VELOCITY_SPIKE,1049698.51,Sender exceeds 95th percentile threshold across 2 transactions,2
C1141576570,VELOCITY_SPIKE,1004692.28,Sender exceeds 95th percentile threshold across 2 transactions,2
C1148385029,VELOCITY_SPIKE,1130877.93,Sender exceeds 95th percentile threshold across 2 transactions,2
C1157650635,VELOCITY_SPIKE,2350471.5,Sender exceeds 95th percentile threshold across 2 transactions,2
C1162056755,VELOCITY_SPIKE,1737466.49,Sender exceeds 95th percentile threshold across 2 transactions,2
C1162752767,VELOCITY_SPIKE,983740.28,Sender exceeds 95th percentile threshold across 2 transactions,2
C1163651971,VELOCITY_SPIKE,3405962.18,Sender exceeds 95th percentile threshold across 2 transactions,2
C1176328073,VELOCITY_SPIKE,1327038.83,Sender exceeds 95th percentile threshold across 2 transactions,2
C1185263836,VELOCITY_SPIKE,2690671.54,Sender exceeds 95th percentile threshold across 2 transactions,2
C1191696703,VELOCITY_SPIKE,3215956.12,Sender exceeds 95th percentile threshold across 2 transactions,2
C1194120440,VELOCITY_SPIKE,3218753.72,Sender exceeds 95th percentile threshold across 2 transactions,2
C1197939193,VELOCITY_SPIKE,1005955.5,Sender exceeds 95th percentile threshold across 2 transactions,2
C1208098630,VELOCITY_SPIKE,1156899.53,Sender exceeds 95th percentile threshold across 2 transactions,2
C1216137912,VELOCITY_SPIKE,1829604.47,Sender exceeds 95th percentile threshold across 2 transactions,2
C1221138730,VELOCITY_SPIKE,2340209.65,Sender exceeds 95th percentile threshold across 2 transactions,2
C1255901219,VELOCITY_SPIKE,8239386.7700000005,Sender exceeds 95th percentile threshold across 2 transactions,2
C125799853,VELOCITY_SPIKE,1661543.8699999999,Sender exceeds 95th percentile threshold across 2 transactions,2
C1258665794,VELOCITY_SPIKE,1184038.22,Sender exceeds 95th percentile threshold across 2 transactions,2
C1264023677,VELOCITY_SPIKE,1116818.06,Sender exceeds 95th percentile threshold across 2 transactions,2
C1270394048,VELOCITY_SPIKE,1255017.77,Sender exceeds 95th percentile threshold across 2 transactions,2
C1275840855,VELOCITY_SPIKE,3290532.39,Sender exceeds 95th percentile threshold across 2 transactions,2
C1286849685,VELOCITY_SPIKE,1608414.4100000001,Sender exceeds 95th percentile threshold across 2 transactions,2
C1291974436,VELOCITY_SPIKE,2013896.59,Sender exceeds 95th percentile threshold across 2 transactions,2
C1292071977,VELOCITY_SPIKE,1048032.18,Sender exceeds 95th percentile threshold across 2 transactions,2
C1314700099,VELOCITY_SPIKE,2605680.58,Sender exceeds 95th percentile threshold across 2 transactions,2
C1317020957,VELOCITY_SPIKE,1192347.44,Sender exceeds 95th percentile threshold across 2 transactions,2
C1320481595,VELOCITY_SPIKE,3268858.07,Sender exceeds 95th percentile threshold across 2 transactions,2
C1322202354,VELOCITY_SPIKE,1654074.0899999999,Sender exceeds 95th percentile threshold across 2 transactions,2
C1326807568,VELOCITY_SPIKE,1656508.47,Sender exceeds 95th percentile threshold across 2 transactions,2
C133857826,VELOCITY_SPIKE,1089563.57,Sender exceeds 95th percentile threshold across 2 transactions,2
C1343875506,VELOCITY_SPIKE,1760812.46,Sender exceeds 95th percentile threshold across 2 transactions,2
C1373834487,VELOCITY_SPIKE,3165209.9,Sender exceeds 95th percentile threshold across 2 transactions,2
C1376588103,VELOCITY_SPIKE,1650951.6,Sender exceeds 95th percentile threshold across 2 transactions,2
C1408209930,VELOCITY_SPIKE,1895470.38,Sender exceeds 95th percentile threshold across 2 transactions,2
C1426679482,VELOCITY_SPIKE,1178103.6,Sender exceeds 95th percentile threshold across 2 transactions,2
C1449325492,VELOCITY_SPIKE,998699.3999999999,Sender exceeds 95th percentile threshold across 2 transactions,2
C1450089041,VELOCITY_SPIKE,2109690.3200000003,Sender exceeds 95th percentile threshold across 2 transactions,2
C1492962755,VELOCITY_SPIKE,1554497.3,Sender exceeds 95th percentile threshold across 2 transactions,2
C1493903724,VELOCITY_SPIKE,1923495.29,Sender exceeds 95th percentile threshold across 2 transactions,2
C1494691984,VELOCITY_SPIKE,1217708.3499999999,Sender exceeds 95th percentile threshold across 2 transactions,2
C1500702169,VELOCITY_SPIKE,1263396.1600000001,Sender exceeds 95th percentile threshold across 2 transactions,2
C1507855514,VELOCITY_SPIKE,1092695.46,Sender exceeds 95th percentile threshold across 2 transactions,2
C1519577654,VELOCITY_SPIKE,3580429.78,Sender exceeds 95th percentile threshold across 2 transactions,2
C1527160232,VELOCITY_SPIKE,1021594.9199999999,Sender exceeds 95th percentile threshold across 2 transactions,2
C1533871698,VELOCITY_SPIKE,2794053.59,Sender exceeds 95th percentile threshold across 2 transactions,2
C1555086607,VELOCITY_SPIKE,1136640.47,Sender exceeds 95th percentile threshold across 2 transactions,2
C1566443123,VELOCITY_SPIKE,1821729.8599999999,Sender exceeds 95th percentile threshold across 2 transactions,2
C1568634958,VELOCITY_SPIKE,1666437.2200000002,Sender exceeds 95th percentile threshold across 2 transactions,2
